ReportingArea,Region,Year,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis infection,Cholera,Coccidioidomycosis,"Cryptosporidiosis, Total","Cryptosporidiosis, Confirmed","Cryptosporidiosis, Probable",Cyclosporiasis,"Dengue virus infections, Dengue","Dengue virus infections, Dengue-like illness","Dengue virus infections, Severe dengue",Diphtheria,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",Listeriosis,"Lyme disease, Total","Lyme disease, Confirmed","Lyme disease, Probable",Malaria,"Measles, Total","Measles, Indigenous","Measles, Imported","Candida auris, clinical",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,"Listeriosis, Total","Listeriosis, Confirmed","Listeriosis, Probable"
Commonwealth of Northern Mariana Islands,OTHER,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,OTHER,2016,NA,8,NA,934,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,OTHER,2016,NA,44,NA,7198,NA,NA,1,1,NA,NA,117,87,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Virgin Islands,OTHER,2016,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,EAST,2016,7,3572,NA,109433,3,NA,535,527,NA,74,139,NA,NA,NA,775,169,NA,NA,74,3882,2623,1259,319,NA,NA,NA,NA,NA,NA,NA,NA
United States,OTHER,2017,140,67537,7,1708569,10,14364,11414,8043,3371,1194,437,8,9,NA,5762,1642,45,269,887,42743,29513,13230,2056,120,99,21,NA,NA,NA,NA,NA
New England,OTHER,2017,3,3020,2,63172,NA,5,426,278,148,67,12,NA,NA,NA,2819,130,1,24,74,7916,5323,2593,157,1,NA,1,NA,NA,NA,NA,NA
Connecticut,EAST,2017,NA,657,NA,17750,NA,NA,72,44,28,33,6,NA,NA,NA,81,NA,NA,NA,20,2051,1381,670,20,NA,NA,NA,NA,NA,NA,NA,NA
Maine,EAST,2017,1,234,NA,4555,NA,NA,45,36,9,NA,NA,NA,NA,NA,663,10,NA,10,5,1850,1424,426,18,1,NA,1,NA,NA,NA,NA,NA
Massachusetts,EAST,2017,2,1399,2,29315,NA,NA,154,125,29,25,5,NA,NA,NA,1208,17,NA,1,36,410,321,89,95,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,EAST,2017,NA,277,NA,4412,NA,2,72,17,55,4,NA,NA,NA,NA,317,18,1,6,4,1381,956,425,8,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,EAST,2017,NA,278,NA,5282,NA,3,33,33,NA,5,1,NA,NA,NA,151,74,NA,NA,7,1132,595,537,13,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,EAST,2017,NA,175,NA,1858,NA,NA,50,23,27,NA,NA,NA,NA,NA,399,11,NA,7,2,1092,646,446,3,NA,NA,NA,NA,NA,NA,NA,NA
Middle Atlantic,OTHER,2017,8,8622,NA,208500,4,NA,979,771,208,138,65,1,1,NA,1444,267,2,35,173,22147,16381,5766,521,11,3,8,NA,NA,NA,NA,NA
New Jersey,EAST,2017,1,1875,NA,35239,2,NA,135,131,4,53,24,1,NA,NA,154,87,1,14,31,5092,3629,1463,125,3,NA,3,NA,NA,NA,NA,NA
New York (excluding New York City),OTHER,2017,1,2072,NA,45154,1,NA,276,268,8,24,6,NA,NA,NA,1112,155,NA,13,49,4072,2906,1166,67,2,1,1,NA,NA,NA,NA,NA
New York City,OTHER,2017,2,2108,NA,71660,1,NA,163,163,NA,61,32,NA,NA,NA,84,14,1,NA,50,1083,596,487,226,2,1,1,NA,NA,NA,NA,NA
Pennsylvania,EAST,2017,4,2567,NA,56447,NA,NA,405,209,196,NA,3,NA,1,NA,94,11,NA,8,43,11900,9250,2650,103,4,1,3,NA,NA,NA,NA,NA
East North Central,OTHER,2017,4,9033,1,249520,2,76,2356,1621,735,135,52,4,4,NA,714,105,2,128,110,3976,2533,1443,195,3,1,2,NA,NA,NA,NA,NA
Illinois,MIDWEST,2017,1,2365,NA,75518,NA,NA,335,246,89,47,17,2,4,NA,11,27,1,1,25,273,218,55,60,NA,NA,NA,NA,NA,NA,NA,NA
